Time(min),sc01,sc02,sc03,sc04,sc05,sc06,sc07,sc08,sc09,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25,sc26,sc27,sc28,sc29,sc30,sc31,sc32,sc33,sc34,sc35,sc36,sc37,sc38,sc39,sc40,sc41,sc42,sc43,sc44,sc45,sc46,sc47,sc48,sc49,sc50,sc51,sc52,sc53,sc54,sc55,sc56,sc57,sc58,sc59,sc60,sc61,sc62,sc63,sc64,sc65,sc66,sc67,sc68,sc69,sc70,sc71,sc72,sc73,sc74
0,0.00317886941008165,0.00302417488109437,0.00375850747785735,0.00226612036041719,0.00332926880449555,0.0025152520579717,0.00357186574031346,0.00409555015324297,0.00247504203302984,0.00409325386866842,0.00399726062553868,0.00395411750999031,0.00230742202677328,0.00336473931583355,0.00444086893342705,0.00357715371433631,0.00349116760083994,0.00300457049204115,0.00287044768702833,0.00266088279250407,0.00300212489222147,0.00370194894958178,0.00336542579450113,0.00233438940162257,0.00385113237677074,0.00438419689045311,0.00233441238411833,0.00374235526314669,0.00230256370089515,0.00383915391070483,0.00415908056215758,0.00360127610252144,0.00221166617437314,0.0029061249211769,0.00442872969828712,0.00269434664359419,0.00376797013474825,0.00444608670381768,0.00241965179212132,0.00323433132541801,0.00240055412978819,0.00646190025998709,0.00228155508384599,0.00255396659758328,0.00265715640038164,0.00297526995755669,0.00279156780107602,0.00421085314186092,0.00372350129930862,0.00307359241039244,0.00263770362077561,0.00421453354054419,0.00414982256123642,0.00331538309417494,0.00445986552627201,0.00436951869510272,0.00432626213899163,0.00379580671957584,0.00402648956075332,0.00347091606353809,0.00234514434240501,0.00233686750074058,0.00387598013839093,0.00321798929126794,0.00294492140269496,0.00374447228638469,0.00412235912522856,0.00329738735971834,0.00403721292859105,0.00224433355278032,0.00284335536095154,0.00406485164380345,0.00354177711055087,0.00311668843636591
5,0.00317886941008165,0.00302417488109437,0.00375850747785735,0.00226612036041719,0.00332926880449555,0.0025152520579717,0.00357186574031346,0.00409555015324297,0.00247504203302984,0.00409325386866842,0.00399726062553868,0.00395411750999031,0.00230742202677328,0.00336473931583355,0.00444086893342705,0.00357715371433631,0.00349116760083994,0.00300457049204115,0.00287044768702833,0.00266088279250407,0.00300212489222147,0.00370194894958178,0.00336542579450113,0.00233438940162257,0.00385113237677074,0.00438419689045311,0.00233441238411833,0.00374235526314669,0.00230256370089515,0.00383915391070483,0.00415908056215758,0.00360127610252144,0.00221166617437314,0.0029061249211769,0.00442872969828712,0.00269434664359419,0.00376797013474825,0.00444608670381768,0.00241965179212132,0.00323433132541801,0.00240055412978819,0.00646190025998709,0.00228155508384599,0.00255396659758328,0.00265715640038164,0.00297526995755669,0.00279156780107602,0.00421085314186092,0.00372350129930862,0.00307359241039244,0.00263770362077561,0.00421453354054419,0.00414982256123642,0.00331538309417494,0.00445986552627201,0.00436951869510272,0.00432626213899163,0.00379580671957584,0.00402648956075332,0.00347091606353809,0.00234514434240501,0.00233686750074058,0.00387598013839093,0.00321798929126794,0.00294492140269496,0.00374447228638469,0.00412235912522856,0.00329738735971834,0.00403721292859105,0.00224433355278032,0.00284335536095154,0.00406485164380345,0.00354177711055087,0.00311668843636591
10,0.00317886941008165,0.00302417488109437,0.00375850747785735,0.00226612036041719,0.00332926880449555,0.0025152520579717,0.00357186574031346,0.00409555015324297,0.00247504203302984,0.00409325386866842,0.00399726062553868,0.00395411750999031,0.00230742202677328,0.00336473931583355,0.00444086893342705,0.00357715371433631,0.00349116760083994,0.00300457049204115,0.00287044768702833,0.00266088279250407,0.00300212489222147,0.00370194894958178,0.00336542579450113,0.00233438940162257,0.00385113237677074,0.00438419689045311,0.00233441238411833,0.00374235526314669,0.00230256370089515,0.00383915391070483,0.00415908056215758,0.00360127610252144,0.00221166617437314,0.0029061249211769,0.00442872969828712,0.00269434664359419,0.00376797013474825,0.00444608670381768,0.00241965179212132,0.00323433132541801,0.00240055412978819,0.00646190025998709,0.00228155508384599,0.00255396659758328,0.00265715640038164,0.00297526995755669,0.00279156780107602,0.00421085314186092,0.00372350129930862,0.00307359241039244,0.00263770362077561,0.00421453354054419,0.00414982256123642,0.00331538309417494,0.00445986552627201,0.00436951869510272,0.00432626213899163,0.00379580671957584,0.00402648956075332,0.00347091606353809,0.00234514434240501,0.00233686750074058,0.00387598013839093,0.00321798929126794,0.00294492140269496,0.00374447228638469,0.00412235912522856,0.00329738735971834,0.00403721292859105,0.00224433355278032,0.00284335536095154,0.00406485164380345,0.00354177711055087,0.00311668843636591
15,0.00353833727363194,0.0035285665629023,0.00289541407513653,0.00434808009553393,0.00394766280247265,0.00287369780496508,0.00386437523413075,0.00303101499201231,0.00312821363300705,0.00278920008149845,0.0033835340411698,0.00269280265185715,0.00407586941967687,0.00273088321747777,0.00383644101979701,0.00250420893492435,0.00305351262694528,0.00428904548671275,0.0044708162485504,0.00387832100149606,0.00254026820004265,0.0040064559542561,0.00299067702499785,0.00319381971407251,0.00446348949966189,0.00377333745101392,0.00264641820881076,0.00351062372551027,0.00433398545942187,0.0036138353372643,0.00286668820573275,0.00430506545255446,0.0038619819042865,0.00266970375728416,0.00323967802136175,0.00348572201182889,0.00414557842326303,0.00258196590924424,0.00311890308263666,0.00414315410538715,0.00427736130535864,0.00411449941988245,0.00345561746289109,0.00261192386536364,0.00259051396240802,0.0034676633249718,0.00356578188602804,0.00392757063607924,0.00287440160252411,0.00296178611250077,0.00272690273576437,0.00361943270126962,0.00459491167946205,0.00353339479002476,0.00271719429726629,0.00389070413883723,0.00446895063030375,0.00367135462900984,0.00325377750780425,0.00230742082369564,0.00281397028009067,0.00420914348567184,0.00315316629304899,0.00450426632556386,0.00409911476723202,0.0033033997382317,0.00311385617489513,0.00386044857041404,0.00316962434839123,0.00398331818695045,0.0034992877943832,0.00255244825956707,0.00232540664591277,0.00418121807190767
20,0.00353833727363194,0.0035285665629023,0.00289541407513653,0.00434808009553393,0.00394766280247265,0.00287369780496508,0.00386437523413075,0.00303101499201231,0.00312821363300705,0.00278920008149845,0.0033835340411698,0.00269280265185715,0.00407586941967687,0.00273088321747777,0.00383644101979701,0.00250420893492435,0.00305351262694528,0.00428904548671275,0.0044708162485504,0.00387832100149606,0.00254026820004265,0.0040064559542561,0.00299067702499785,0.00319381971407251,0.00446348949966189,0.00377333745101392,0.00264641820881076,0.00351062372551027,0.00433398545942187,0.0036138353372643,0.00286668820573275,0.00430506545255446,0.0038619819042865,0.00266970375728416,0.00323967802136175,0.00348572201182889,0.00414557842326303,0.00258196590924424,0.00311890308263666,0.00414315410538715,0.00427736130535864,0.00411449941988245,0.00345561746289109,0.00261192386536364,0.00259051396240802,0.0034676633249718,0.00356578188602804,0.00392757063607924,0.00287440160252411,0.00296178611250077,0.00272690273576437,0.00361943270126962,0.00459491167946205,0.00353339479002476,0.00271719429726629,0.00389070413883723,0.00446895063030375,0.00367135462900984,0.00325377750780425,0.00230742082369564,0.00281397028009067,0.00420914348567184,0.00315316629304899,0.00450426632556386,0.00409911476723202,0.0033033997382317,0.00311385617489513,0.00386044857041404,0.00316962434839123,0.00398331818695045,0.0034992877943832,0.00255244825956707,0.00232540664591277,0.00418121807190767
25,0.00353833727363194,0.0035285665629023,0.00289541407513653,0.00434808009553393,0.00394766280247265,0.00287369780496508,0.00386437523413075,0.00303101499201231,0.00312821363300705,0.00278920008149845,0.0033835340411698,0.00269280265185715,0.00407586941967687,0.00273088321747777,0.00383644101979701,0.00250420893492435,0.00305351262694528,0.00428904548671275,0.0044708162485504,0.00387832100149606,0.00254026820004265,0.0040064559542561,0.00299067702499785,0.00319381971407251,0.00446348949966189,0.00377333745101392,0.00264641820881076,0.00351062372551027,0.00433398545942187,0.0036138353372643,0.00286668820573275,0.00430506545255446,0.0038619819042865,0.00266970375728416,0.00323967802136175,0.00348572201182889,0.00414557842326303,0.00258196590924424,0.00311890308263666,0.00414315410538715,0.00427736130535864,0.00411449941988245,0.00345561746289109,0.00261192386536364,0.00259051396240802,0.0034676633249718,0.00356578188602804,0.00392757063607924,0.00287440160252411,0.00296178611250077,0.00272690273576437,0.00361943270126962,0.00459491167946205,0.00353339479002476,0.00271719429726629,0.00389070413883723,0.00446895063030375,0.00367135462900984,0.00325377750780425,0.00230742082369564,0.00281397028009067,0.00420914348567184,0.00315316629304899,0.00450426632556386,0.00409911476723202,0.0033033997382317,0.00311385617489513,0.00386044857041404,0.00316962434839123,0.00398331818695045,0.0034992877943832,0.00255244825956707,0.00232540664591277,0.00418121807190767
30,0.00369484241646875,0.00449121843477775,0.00282929286465276,0.00408960576018192,0.00259962192325031,0.00428344765942374,0.00366134333832491,0.00303813882790549,0.00280940633936294,0.00450687864609884,0.00241449248285892,0.00402322717232292,0.00301608603922769,0.00436672922150734,0.00296387486453584,0.00403238007057349,0.0045426837088163,0.00372169890658088,0.00331985879250278,0.00300565444168318,0.00445860861626813,0.0026599303376102,0.00487832135562745,0.00368854030722789,0.00337202739007101,0.00287184220598132,0.00404735330123042,0.00347465269779851,0.00415287614645212,0.00396184802791795,0.00292386438480619,0.00318373751606432,0.00303012019569234,0.00309906223209547,0.00464569147722218,0.00252335613608914,0.00379635958492466,0.00289314491057437,0.00334798822110331,0.00319441829795652,0.00409777811145273,0.00341301961474867,0.00350547964248945,0.00377842437784605,0.00408968657801538,0.00236286466645843,0.00253710655486279,0.00406926845819283,0.00420772250428405,0.00271749730217866,0.00389293339254325,0.00408821419561047,0.00276366950622581,0.00323038854903923,0.0041993376640778,0.00464068794363794,0.00285109045857786,0.00252936438505677,0.00444408091961324,0.00289046598868954,0.00365655719660566,0.00409888670771335,0.00353164279219673,0.00417863980081268,0.00242425567761457,0.00356855981107901,0.00300712379113493,0.00273103432748101,0.00311402278108738,0.004202044981133,0.00279570879716551,0.00439310483362851,0.00401652895942507,0.00257186550952279
35,0.00369484241646875,0.00449121843477775,0.00282929286465276,0.00408960576018192,0.00259962192325031,0.00428344765942374,0.00366134333832491,0.00303813882790549,0.00280940633936294,0.00450687864609884,0.00241449248285892,0.00402322717232292,0.00301608603922769,0.00436672922150734,0.00296387486453584,0.00403238007057349,0.0045426837088163,0.00372169890658088,0.00331985879250278,0.00300565444168318,0.00445860861626813,0.0026599303376102,0.00487832135562745,0.00368854030722789,0.00337202739007101,0.00287184220598132,0.00404735330123042,0.00347465269779851,0.00415287614645212,0.00396184802791795,0.00292386438480619,0.00318373751606432,0.00303012019569234,0.00309906223209547,0.00464569147722218,0.00252335613608914,0.00379635958492466,0.00289314491057437,0.00334798822110331,0.00319441829795652,0.00409777811145273,0.00341301961474867,0.00350547964248945,0.00377842437784605,0.00408968657801538,0.00236286466645843,0.00253710655486279,0.00406926845819283,0.00420772250428405,0.00271749730217866,0.00389293339254325,0.00408821419561047,0.00276366950622581,0.00323038854903923,0.0041993376640778,0.00464068794363794,0.00285109045857786,0.00252936438505677,0.00444408091961324,0.00289046598868954,0.00365655719660566,0.00409888670771335,0.00353164279219673,0.00417863980081268,0.00242425567761457,0.00356855981107901,0.00300712379113493,0.00273103432748101,0.00311402278108738,0.004202044981133,0.00279570879716551,0.00439310483362851,0.00401652895942507,0.00257186550952279
40,0.00369484241646875,0.00449121843477775,0.00282929286465276,0.00408960576018192,0.00259962192325031,0.00428344765942374,0.00366134333832491,0.00303813882790549,0.00280940633936294,0.00450687864609884,0.00241449248285892,0.00402322717232292,0.00301608603922769,0.00436672922150734,0.00296387486453584,0.00403238007057349,0.0045426837088163,0.00372169890658088,0.00331985879250278,0.00300565444168318,0.00445860861626813,0.0026599303376102,0.00487832135562745,0.00368854030722789,0.00337202739007101,0.00287184220598132,0.00404735330123042,0.00347465269779851,0.00415287614645212,0.00396184802791795,0.00292386438480619,0.00318373751606432,0.00303012019569234,0.00309906223209547,0.00464569147722218,0.00252335613608914,0.00379635958492466,0.00289314491057437,0.00334798822110331,0.00319441829795652,0.00409777811145273,0.00341301961474867,0.00350547964248945,0.00377842437784605,0.00408968657801538,0.00236286466645843,0.00253710655486279,0.00406926845819283,0.00420772250428405,0.00271749730217866,0.00389293339254325,0.00408821419561047,0.00276366950622581,0.00323038854903923,0.0041993376640778,0.00464068794363794,0.00285109045857786,0.00252936438505677,0.00444408091961324,0.00289046598868954,0.00365655719660566,0.00409888670771335,0.00353164279219673,0.00417863980081268,0.00242425567761457,0.00356855981107901,0.00300712379113493,0.00273103432748101,0.00311402278108738,0.004202044981133,0.00279570879716551,0.00439310483362851,0.00401652895942507,0.00257186550952279
45,0.00490225622559834,0.00365506802060279,0.00316077548046788,0.00285486941488826,0.00438688644264479,0.0026552925595175,0.00266610856999527,0.00451337174538688,0.00276118961606911,0.00341950903362379,0.00311284877867034,0.0044426275236293,0.00317247617729174,0.00335073809034577,0.00407755873755202,0.00272975698279794,0.00296152660434957,0.00289117659329989,0.00349956204343409,0.00439135068019432,0.00414554522340302,0.00406224590286438,0.00438477479035477,0.00389509939457885,0.00270060416222857,0.00459564153784909,0.00393838713065307,0.00361828377748773,0.00418222804929766,0.00453419879084252,0.00243839856085642,0.00481772753874983,0.00343316286727246,0.00290979148899558,0.00458531249542173,0.00321256129463815,0.00317454476887007,0.00408297133379151,0.00301120687859257,0.00253502200084914,0.00258844523102528,0.00412305402808694,0.00277257727970316,0.00272461059651839,0.00357144968390111,0.00357767226627754,0.00438672892032987,0.00234481505545844,0.00265396481513183,0.00389415015824002,0.00392441131345649,0.00436130677980132,0.00462740019356259,0.00478459112660146,0.00378859979278356,0.00391141428578756,0.00455189663935377,0.00342732835237186,0.00319028020685794,0.00347484903306519,0.00365020855820307,0.00441521787669811,0.00464084914635737,0.00293606673622641,0.00409527099873822,0.00302956139503972,0.00368282947945367,0.00375670745322086,0.00362826565040263,0.00449615796173555,0.00328486909430367,0.00266324390751964,0.00326031890331426,0.00256197648792949
