sc01,sc02,sc03,sc04,sc05,sc06,sc07,sc08,sc09,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25,sc26,sc27,sc28,sc29,sc30,sc31,sc32,sc33,sc34,sc35,sc36,sc37,sc38,sc39,sc40,sc41,sc42,sc43,sc44,sc45,sc46,sc47,sc48,sc49,sc50,sc51,sc52,sc53,sc54,sc55,sc56,sc57,sc58,sc59,sc60,sc61,sc62,sc63,sc64,sc65,sc66,sc67,sc68,sc69,sc70,sc71,sc72,sc73,sc74
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002727309,0.001795219,0.002421677,0.003085524,0.000643303,0.001982383,0.001565751,0.002713972,0.002508927,0.001414142,0.000873737,0.00104342,0.001314997,0.003059049,0.000596138,0.001159186,0.001878616,0.00114305,0.002398229,0.002589569,0.002613189,0.002306466,0.002654357,0.001594439,0.002518331,0.000521084,0.002580685,0.001552657,0.002613593,0.000624607,0.000639811,0.002885979,0.001489445,0.001330484,0.001764847,0.002690393,0.001355231,0.001244001,0.000526326,0.0010815,0.001477463,0.001305887,0.000423615,0.001197101,0.000634266,0.00153003,0.001927026,0.001151023,0.002284761,0.002962271,0.001414723,0.002585265,0.002582058,0.003137234,0.000584519,0.001986959,0.001531542,0.000510526,0.002126219,0.002674297,0.002421249,0.00230426,0.001183962,0.001951089,0.001674942,0.002023099,0.001707488,0.002372097,0.001190172,0.002439483,0.00140516,0.001969305,0.002438997,0.001061549
0.020776329,0.021360906,0.020649415,0.021874834,0.020840262,0.020657557,0.021348824,0.021375091,0.021514085,0.020412835,0.020402723,0.019755996,0.021367579,0.020301234,0.01910308,0.02050042,0.019753755,0.020352575,0.020141232,0.020879447,0.020070564,0.020954815,0.02165048,0.021385228,0.020704867,0.019220466,0.020983251,0.019753092,0.021054129,0.020273119,0.01913453,0.021308341,0.020716418,0.020848718,0.01983704,0.021621895,0.020780884,0.020435064,0.019364904,0.02106851,0.021344868,0.021098066,0.019206607,0.020702237,0.020919077,0.02029632,0.021091317,0.01969186,0.020155189,0.020435838,0.020652392,0.020585394,0.02095358,0.020897036,0.019957346,0.021277783,0.020430363,0.020081503,0.020199535,0.021880599,0.02028052,0.020220882,0.019404937,0.021278761,0.021273432,0.020268826,0.021295695,0.020095601,0.021317301,0.021826272,0.019531865,0.020773924,0.021651446,0.020521309
0.024705005,0.023929192,0.023251035,0.025037299,0.024407225,0.023864744,0.023039531,0.024748959,0.025217053,0.02466022,0.022918306,0.023664783,0.023049711,0.023706065,0.023427747,0.024892253,0.025105602,0.022836487,0.023405658,0.024750254,0.024315907,0.023071456,0.023757426,0.024659941,0.023736618,0.022956039,0.024745392,0.02278927,0.023949783,0.023313738,0.023870354,0.023086843,0.02287415,0.023690885,0.024238743,0.023519258,0.023041495,0.024807157,0.023344928,0.023717097,0.022819057,0.024406331,0.02329271,0.024616272,0.023134106,0.023111786,0.024249521,0.023864989,0.023454864,0.025094861,0.024696012,0.024076161,0.023833916,0.023867765,0.024854402,0.025154851,0.025145791,0.023315344,0.023426247,0.024008969,0.024922839,0.0243934,0.02471024,0.024932632,0.023350367,0.023490127,0.024043935,0.024125003,0.02311966,0.023714642,0.023429234,0.023118825,0.02353521,0.02330863
0.025429039,0.024666492,0.025924579,0.025020338,0.024441876,0.024382828,0.024384862,0.026372251,0.025395308,0.025185512,0.025563417,0.024338865,0.025521745,0.024154864,0.025095392,0.026056478,0.025206404,0.025619955,0.024116503,0.02477558,0.024128941,0.026198954,0.025103527,0.025150387,0.025984721,0.024581059,0.026228121,0.023996701,0.025796366,0.024674958,0.02631565,0.025932738,0.024062729,0.024860955,0.024973602,0.024617424,0.024698751,0.025325479,0.024905076,0.025443791,0.025426836,0.024368657,0.025897077,0.025518176,0.025754948,0.025591022,0.024766698,0.02449399,0.025962043,0.025098376,0.025519026,0.024429711,0.025179796,0.025047393,0.025843938,0.025091577,0.024979503,0.025645836,0.025736183,0.024547803,0.025853859,0.024923811,0.024121311,0.025633595,0.024446796,0.026262618,0.025430964,0.024049539,0.02611501,0.025695609,0.025955967,0.024877468,0.024968253,0.025925136
0.026808652,0.025905269,0.024746116,0.025596488,0.025711265,0.024914352,0.026217464,0.025224385,0.026982094,0.02642732,0.027228443,0.02716377,0.025865689,0.025531248,0.026446123,0.025003764,0.026668066,0.02711632,0.026038801,0.025106082,0.025753842,0.026173007,0.025193185,0.02681989,0.026193663,0.025990451,0.024764027,0.02665598,0.02477925,0.026785425,0.026545869,0.026176414,0.026664843,0.024930261,0.026191268,0.025719242,0.025266597,0.026208271,0.025795422,0.025680442,0.024856762,0.025639689,0.025312268,0.025950115,0.025941611,0.0257419,0.026225233,0.026100078,0.025848237,0.025454758,0.026729123,0.025528408,0.024657111,0.025902392,0.025642205,0.026126054,0.02575848,0.025008893,0.02481284,0.026380856,0.027043964,0.024837788,0.027006418,0.025345398,0.026523257,0.026031541,0.025021606,0.026149932,0.025603745,0.02717447,0.026971339,0.024891664,0.026705663,0.027169632
0.027913491,0.027393489,0.027833468,0.027162087,0.026296735,0.027629337,0.027257811,0.025725285,0.027114615,0.027588141,0.025335887,0.026838703,0.027068806,0.025799489,0.025314833,0.027600057,0.026168814,0.026697081,0.027800861,0.027228815,0.026339212,0.025350567,0.025507271,0.026578161,0.025833106,0.025592282,0.026827116,0.025933461,0.026916716,0.026448752,0.026532819,0.026534233,0.027164883,0.027133397,0.026120098,0.027379973,0.026254449,0.027844317,0.027010106,0.025861511,0.025855986,0.026980267,0.027377355,0.027887623,0.026557846,0.026853377,0.026571164,0.027533041,0.026158391,0.027199576,0.027150889,0.027636947,0.026369906,0.025676463,0.025314376,0.026568446,0.02554469,0.026537509,0.027171628,0.02649857,0.025583338,0.027736513,0.025481132,0.026960284,0.026211193,0.0255987,0.027829116,0.027568022,0.027106265,0.027236656,0.027178212,0.027442,0.025908475,0.026481101
