sc01,sc02,sc03,sc04,sc05,sc06,sc07,sc08,sc09,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25,sc26,sc27,sc28,sc29,sc30,sc31,sc32,sc33,sc34,sc35,sc36,sc37,sc38,sc39,sc40,sc41,sc42,sc43,sc44,sc45,sc46,sc47,sc48,sc49,sc50,sc51,sc52,sc53,sc54,sc55,sc56,sc57,sc58,sc59,sc60,sc61,sc62,sc63,sc64,sc65,sc66,sc67,sc68,sc69,sc70,sc71,sc72,sc73,sc74
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.324401317,0.303325462,0.300898814,0.303654787,0.322086219,0.309170904,0.31271978,0.311838052,0.315536904,0.305282678,0.328751482,0.324180547,0.328645573,0.304685386,0.324090672,0.32999134,0.301373618,0.305617331,0.326377801,0.319046815,0.307241201,0.312083804,0.32005513,0.322371068,0.307686392,0.333285544,0.307083021,0.300146369,0.319566717,0.321600475,0.317187614,0.300343699,0.308260474,0.32986078,0.302951822,0.325796275,0.331634475,0.323552981,0.304715748,0.319580164,0.323277924,0.322090903,0.303606408,0.301248586,0.313262338,0.330260218,0.30783689,0.323913845,0.323183518,0.306604655,0.329502751,0.330324191,0.324908055,0.314620771,0.32262558,0.32423028,0.313152997,0.310260052,0.321911661,0.308008589,0.305268184,0.322347476,0.314542526,0.313622007,0.305733852,0.330216104,0.308295667,0.301062588,0.309915583,0.330308052,0.308624924,0.315467032,0.311263832,0.316170547
0.323807097,0.316039541,0.336395846,0.326995753,0.339564033,0.324628823,0.315511238,0.315353428,0.338280404,0.320405813,0.337094725,0.316747711,0.311410914,0.325166928,0.335540891,0.338144931,0.310692623,0.317939591,0.320704024,0.311315464,0.318054542,0.317401187,0.308714441,0.313128252,0.310871288,0.330467876,0.318733332,0.332280037,0.316123572,0.319449162,0.33272779,0.324225667,0.324442782,0.33677216,0.332465986,0.318342277,0.310749163,0.32024352,0.327358993,0.33298028,0.32301715,0.318743804,0.32501552,0.33309215,0.313119683,0.319250697,0.33334169,0.323469377,0.331295917,0.335044039,0.333964857,0.322389601,0.328974002,0.323329247,0.324129477,0.332573603,0.321251368,0.310366525,0.329925341,0.313969334,0.315388083,0.328462233,0.308765551,0.328700271,0.316006858,0.332109578,0.312875616,0.311433649,0.317487168,0.329972794,0.339448567,0.332491017,0.338480304,0.323713657
0.320259667,0.34798806,0.335415596,0.318236597,0.316954671,0.321936079,0.340431985,0.335787419,0.320281971,0.341957713,0.336910543,0.33641292,0.321920493,0.326937188,0.331572958,0.339139037,0.343526739,0.319626653,0.339878009,0.322391092,0.335567495,0.340768852,0.347966481,0.328164969,0.340040097,0.329363129,0.335145305,0.322727143,0.318842252,0.343001748,0.317430066,0.327818209,0.339521349,0.321703805,0.348357818,0.346141678,0.325122797,0.318268247,0.340932696,0.34758686,0.339053451,0.318062715,0.316606173,0.325177589,0.342123805,0.324442349,0.346341072,0.320697847,0.326313229,0.329404716,0.336797022,0.316302681,0.325548609,0.331766268,0.335428818,0.336654179,0.341267904,0.328841741,0.344965958,0.316062335,0.322489001,0.332509703,0.347976019,0.338564225,0.3227263,0.328109018,0.331804191,0.337509459,0.327745322,0.323902627,0.344779578,0.341723563,0.315541299,0.343334469
0.333421773,0.354120976,0.344425987,0.336715147,0.340226021,0.327739814,0.338594744,0.357488008,0.351660742,0.354096428,0.333357253,0.347748399,0.338771887,0.331961496,0.353394966,0.349263887,0.338412932,0.340191928,0.343711735,0.352461484,0.343773749,0.335512178,0.33477169,0.324206843,0.357259183,0.329502295,0.330122278,0.343111503,0.333630081,0.33378271,0.35678408,0.346844233,0.352761458,0.350026603,0.342328376,0.338116125,0.327772142,0.353107952,0.341819925,0.342560931,0.335731455,0.324376095,0.340917449,0.346378467,0.346866077,0.33992027,0.346070232,0.343202973,0.332478415,0.353647749,0.333542509,0.350741115,0.345228802,0.339374557,0.32661216,0.323811384,0.324714423,0.353270898,0.35058133,0.347364367,0.331027231,0.347904953,0.33282015,0.32776569,0.34515752,0.345159802,0.333337572,0.333455291,0.324937633,0.348530242,0.325829846,0.324454875,0.348771906,0.353806533
0.33613494,0.345106558,0.352316881,0.338635134,0.336819155,0.364549877,0.337323315,0.338574788,0.344381872,0.342119504,0.349380794,0.359207983,0.356691579,0.354691558,0.354434782,0.358397018,0.35849157,0.336198782,0.350218838,0.339423667,0.361981029,0.332847492,0.344515941,0.347100416,0.340516498,0.357441427,0.348239016,0.34690342,0.341488175,0.334415811,0.345207153,0.366118544,0.340771069,0.353899973,0.363517433,0.361297703,0.363084104,0.349937107,0.346523078,0.336912774,0.360424204,0.333401456,0.364326816,0.334422672,0.361165431,0.333340738,0.362095647,0.35013114,0.361305622,0.356343564,0.337497175,0.349059386,0.354730978,0.336325658,0.353679077,0.35251291,0.365840509,0.353854008,0.349463243,0.349864953,0.363139764,0.342598857,0.346476137,0.364956096,0.355872198,0.335037568,0.331898616,0.348334553,0.353441528,0.335368217,0.3567604,0.364629834,0.357259098,0.364591426
0.356733445,0.369229819,0.355403771,0.34634036,0.360831267,0.347076649,0.348078034,0.368511272,0.354334487,0.340972676,0.356914155,0.374973397,0.370273476,0.375702557,0.366005482,0.364346141,0.340653381,0.372640543,0.352796661,0.373733266,0.34322922,0.345713743,0.340993499,0.353700605,0.360346276,0.372201167,0.3527082,0.342880835,0.344919533,0.370808681,0.343020361,0.359592477,0.361072269,0.372614866,0.34519568,0.350815999,0.359595688,0.369624825,0.357333624,0.356995553,0.371475974,0.356777946,0.341261015,0.374236225,0.372590472,0.353166457,0.372566162,0.343528697,0.354434159,0.35495327,0.345225003,0.370826488,0.358768027,0.356451098,0.36500189,0.360369071,0.34840439,0.369993653,0.342627964,0.343217955,0.367774998,0.345235746,0.360457981,0.344243285,0.355504696,0.341051375,0.368324555,0.350479269,0.364833098,0.348014632,0.367615624,0.363746873,0.361891848,0.358177642
0.365042371,0.367208467,0.362977286,0.378651683,0.375374839,0.363645244,0.355113246,0.384971136,0.36316369,0.351269455,0.359103218,0.383975293,0.382720675,0.366514215,0.367229426,0.368394967,0.353856359,0.350963904,0.383102578,0.370771732,0.35523041,0.350850673,0.354630496,0.352248684,0.356501583,0.382789366,0.354176518,0.35134589,0.383194708,0.359090581,0.361691764,0.374673198,0.378288055,0.384532874,0.355089831,0.37266795,0.378337173,0.384108427,0.38181543,0.372263424,0.371325334,0.38178951,0.377422667,0.366584112,0.379464404,0.379081027,0.384865241,0.363859359,0.381770312,0.374850106,0.35707467,0.380437189,0.37072681,0.371801272,0.380380082,0.383960127,0.356571836,0.382500463,0.375283755,0.367789839,0.363100496,0.374327762,0.380460185,0.372390181,0.358176191,0.371863709,0.357627231,0.375812447,0.351475591,0.377182941,0.379146243,0.380564903,0.372979901,0.365214467
0.382787506,0.373175123,0.385310266,0.387803207,0.378032081,0.378813522,0.377022582,0.380136807,0.363636412,0.380029644,0.392956138,0.374741719,0.390135441,0.390074109,0.363025231,0.394119393,0.362995826,0.385876733,0.385678345,0.378485943,0.382222428,0.363887293,0.36108768,0.381620358,0.364357075,0.3591473,0.38816452,0.386602117,0.363942167,0.365066285,0.382802525,0.394229363,0.377863055,0.3737729,0.388884709,0.363039116,0.359445532,0.361946085,0.372110923,0.362377466,0.39122888,0.393319108,0.383985102,0.385353667,0.394181588,0.371809634,0.380752197,0.389623549,0.381483532,0.392240064,0.373222349,0.393609015,0.357420241,0.364487986,0.382926613,0.369193987,0.36468694,0.381485129,0.360793797,0.371538829,0.356859234,0.38387516,0.387333662,0.371506379,0.372240113,0.388838797,0.381844698,0.361737441,0.381919541,0.388473396,0.37578674,0.385249315,0.363757552,0.390423178
