sc01,sc02,sc03,sc04,sc05,sc06,sc07,sc08,sc09,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25,sc26,sc27,sc28,sc29,sc30,sc31,sc32,sc33,sc34,sc35,sc36,sc37,sc38,sc39,sc40,sc41,sc42,sc43,sc44,sc45,sc46,sc47,sc48,sc49,sc50,sc51,sc52,sc53,sc54,sc55,sc56,sc57,sc58,sc59,sc60,sc61,sc62,sc63,sc64,sc65,sc66,sc67,sc68,sc69,sc70,sc71,sc72,sc73,sc74
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152916702,0.15132046,0.154006054,0.158513201,0.156154795,0.161707956,0.150256539,0.152004497,0.162255993,0.149974723,0.14975783,0.150565816,0.161508632,0.151054188,0.153134097,0.164077511,0.156986726,0.15471497,0.151184172,0.159266586,0.149483714,0.153402559,0.159288411,0.151696416,0.15374902,0.153731772,0.157859277,0.155381664,0.154947491,0.162295113,0.155572369,0.16448352,0.150893498,0.157146259,0.153696853,0.159818069,0.161189483,0.163246912,0.155123534,0.164974593,0.156077118,0.156940628,0.158583876,0.151995634,0.150153247,0.160250576,0.153322431,0.151221589,0.164085867,0.1524486,0.162970373,0.159453662,0.154326549,0.162055078,0.160572225,0.158651682,0.160035736,0.151798337,0.157403531,0.163936498,0.153762337,0.151629591,0.163842832,0.160517152,0.153785446,0.150954864,0.164867583,0.158014896,0.157751272,0.156401758,0.156378312,0.150803171,0.158428997,0.151763659
0.155989647,0.158145816,0.159917891,0.15871588,0.160124196,0.153062174,0.161440016,0.15826926,0.157390064,0.154944303,0.155968142,0.164570952,0.157314366,0.151260678,0.15503885,0.153260257,0.165613645,0.153641835,0.155387269,0.159094072,0.163863469,0.164476325,0.164984686,0.16645515,0.16559718,0.158492582,0.154328521,0.1578896,0.160999818,0.160893506,0.163353073,0.162305354,0.154927761,0.154348316,0.164377147,0.164702706,0.154046897,0.164628911,0.161580822,0.154246725,0.154876504,0.151596052,0.156723143,0.150747416,0.152248639,0.165130469,0.166063344,0.15258669,0.159101075,0.164861913,0.161049697,0.166322136,0.155378003,0.156747413,0.16466113,0.163841872,0.165396626,0.15451854,0.159615228,0.153319433,0.155198202,0.164026518,0.166049508,0.16199846,0.157840197,0.159495197,0.164622079,0.154796027,0.15659078,0.151153927,0.164897638,0.159897614,0.157774592,0.163858505
0.169075186,0.160621523,0.158896232,0.156104663,0.166288009,0.159009238,0.156786455,0.156842121,0.163203915,0.155352951,0.16238474,0.163279578,0.16043626,0.16286502,0.163040013,0.156648904,0.156250708,0.166183306,0.160941023,0.164879872,0.170067839,0.168194995,0.166203402,0.156740972,0.16896342,0.155031866,0.157945395,0.166863469,0.170684417,0.165030279,0.155374632,0.155310088,0.163997315,0.16268873,0.162165178,0.163565377,0.155585961,0.167714271,0.166041951,0.155164393,0.16860069,0.164196751,0.16977738,0.159540529,0.157658975,0.155386929,0.170611798,0.155102353,0.170111003,0.161857719,0.159957497,0.164214095,0.167377402,0.166603827,0.170825927,0.158682918,0.170676942,0.15916131,0.170355704,0.165954077,0.170348945,0.165277738,0.157088778,0.163910954,0.161553761,0.159237666,0.15856683,0.15944195,0.167223055,0.16517007,0.163181727,0.160766637,0.159890056,0.16695765
0.169163711,0.159546599,0.172661571,0.159002334,0.173665226,0.164016289,0.169082842,0.161950695,0.172940683,0.168039916,0.166770885,0.164107367,0.158809537,0.172722373,0.161204139,0.163511642,0.167073811,0.164452823,0.172883522,0.16847901,0.163725031,0.163857152,0.172224877,0.164387278,0.169962426,0.161828534,0.168880086,0.162168716,0.16254229,0.167004798,0.166919682,0.163393736,0.171839353,0.172051593,0.161461975,0.163856525,0.1750271,0.159420401,0.172686336,0.174246819,0.166395831,0.171215604,0.160188095,0.161588378,0.16049721,0.164758945,0.163922556,0.167599618,0.171827626,0.169423283,0.171037414,0.163545029,0.169181416,0.171910547,0.159720761,0.169555147,0.160295656,0.169571352,0.173220119,0.160348333,0.163007285,0.165177309,0.174144872,0.1744202,0.159959072,0.171672017,0.161682881,0.165399235,0.164145941,0.166259263,0.165879954,0.172490536,0.161896204,0.163804849
0.171268877,0.178786947,0.164281192,0.165159018,0.175177378,0.164046108,0.164353795,0.179612871,0.175904269,0.166686343,0.177427229,0.172687304,0.163607889,0.179227685,0.177577812,0.165767219,0.167816663,0.167577175,0.173027139,0.166029491,0.169110699,0.164663323,0.164834803,0.169646141,0.17834047,0.167846702,0.173462313,0.164286146,0.166930346,0.179310787,0.164597149,0.174417073,0.166594164,0.172550295,0.168042522,0.177683183,0.174830131,0.179973419,0.164622497,0.166761238,0.173101309,0.173125805,0.166551865,0.175245356,0.169517561,0.176638638,0.164349608,0.179383931,0.176489119,0.168762864,0.166044588,0.17556135,0.17613459,0.171508527,0.164771479,0.179635872,0.172992566,0.16348624,0.168036746,0.170905106,0.175808733,0.17407394,0.177666645,0.166602361,0.174897176,0.179247204,0.17202924,0.169101513,0.164646488,0.164020384,0.167161734,0.164805577,0.1720806,0.179249289
0.169384584,0.178528736,0.183301962,0.175743064,0.177735729,0.16863037,0.1691159,0.174808449,0.170811457,0.173770547,0.176405336,0.176887517,0.171740976,0.176493033,0.173146937,0.184334241,0.184322075,0.170037793,0.177659185,0.169110073,0.183320123,0.18393691,0.178910174,0.167970851,0.168855248,0.174648935,0.167304181,0.169318959,0.172926185,0.168161579,0.172742376,0.177489447,0.182960355,0.172565607,0.172289919,0.182564897,0.178037648,0.176267089,0.177180071,0.17649704,0.174357802,0.167025073,0.183023391,0.172517074,0.18342761,0.17862675,0.169205743,0.1674327,0.171998754,0.171576409,0.171005801,0.179667209,0.183380903,0.183014705,0.170805391,0.175288788,0.184459563,0.177910713,0.179577201,0.169145164,0.170988786,0.184365528,0.182091898,0.172917807,0.170410115,0.167386943,0.180897927,0.178600075,0.168698948,0.180374706,0.180767097,0.173458262,0.174391487,0.182113187
0.188845396,0.178233247,0.177720891,0.183943848,0.181467709,0.188715428,0.180198443,0.185462145,0.188689307,0.187139865,0.171679288,0.183171321,0.187797406,0.184359092,0.186063234,0.179145203,0.183663686,0.186683821,0.172197275,0.175148455,0.188160748,0.179433007,0.18169345,0.187394056,0.183381876,0.186631542,0.188860436,0.183737387,0.186166679,0.189001159,0.187667215,0.186872411,0.185486185,0.185704158,0.17585531,0.174173928,0.174158506,0.18538178,0.182605148,0.171730507,0.185072142,0.187812852,0.174821836,0.186164523,0.178656694,0.172418978,0.17935015,0.179797074,0.188286876,0.181195028,0.178348041,0.185039842,0.187280291,0.17786526,0.18678046,0.181390122,0.177329698,0.178412734,0.17608688,0.185406738,0.176635013,0.183217857,0.186065698,0.183181324,0.176253168,0.182978998,0.181307639,0.175213334,0.181393904,0.174548694,0.178122901,0.17119945,0.179622341,0.174740195
0.177667474,0.178555622,0.182758192,0.18379239,0.192894227,0.178859749,0.181526254,0.175722282,0.190391003,0.183352811,0.192224265,0.189749116,0.181404437,0.180361582,0.177824953,0.177857014,0.181735471,0.18320017,0.185385894,0.177265304,0.176919165,0.17686101,0.176961088,0.176842188,0.187951821,0.188895172,0.177746687,0.175405016,0.183915939,0.18076861,0.175736884,0.187403435,0.189286334,0.190743753,0.188677044,0.175665112,0.190393905,0.180083075,0.183858944,0.190755742,0.177737722,0.175993122,0.175600654,0.184079572,0.183792925,0.180591495,0.179146006,0.183779292,0.186210104,0.176387264,0.18450868,0.180265881,0.187211386,0.183053846,0.188266831,0.187104767,0.176401106,0.193455818,0.176907007,0.191140225,0.183719607,0.182480664,0.183184381,0.192511587,0.177732668,0.189789514,0.19060183,0.178506869,0.188504557,0.184530579,0.176005563,0.182013492,0.180918207,0.176718962
0.180328964,0.187221917,0.184868917,0.183576156,0.189939254,0.189925965,0.192241429,0.188651563,0.18123769,0.189413273,0.182593877,0.189300195,0.19790974,0.189692636,0.189538517,0.196527715,0.19455383,0.187782654,0.181512606,0.190064033,0.194469349,0.194547379,0.186726279,0.184175762,0.180554636,0.18320399,0.198028094,0.185729724,0.198440211,0.197572965,0.182831478,0.187982212,0.194683717,0.182677436,0.188136402,0.198348908,0.186967809,0.195558712,0.187843183,0.189936601,0.186848093,0.186887362,0.196355711,0.189857003,0.198293184,0.189922247,0.192578255,0.193901822,0.183672826,0.188584186,0.191109418,0.18642097,0.181700594,0.194088211,0.18680133,0.181720096,0.183671568,0.190917449,0.195435034,0.19654111,0.188969839,0.180624538,0.190340595,0.182450833,0.188906748,0.184037941,0.190314216,0.194060522,0.179779363,0.187081568,0.181928349,0.183869935,0.197924976,0.180366774
